DEBUG [2020-11-02 23:02:02,744] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: kemal
DEBUG [2020-11-02 23:02:02,745] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 10:56:44 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:02:02,746] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:02:28,283] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:22:32,408] [19] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:22:32,410] [19] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-02 23:22:32,418] [19] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:3; LastCheckedRemotes:11/2/2020 11:22:32 PM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:22:32,421] [19] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:17,708] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:17,794] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:17,978] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:17,979] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:32:17,980] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:1/1/0001 12:00:00 AM; LastUsedView:FileStatus; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:32:17,984] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:32:17,985] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:32:17,985] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:32:17,986] [21] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:1/1/0001 12:00:00 AM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
